"n","seed","K","ok","n_starts_ok","LL","n_par","AIC","BIC","min_class_share","hessian_ok","secs","usable","verdict","problems"
75,7,1,TRUE,1,-307.99723283681,4,623.994465673621,642.053316437111,1,TRUE,0.380173921585083,TRUE,"ok",""
75,7,2,TRUE,8,-280.105337508207,9,578.210675016414,618.843089234267,0.405368610343531,TRUE,7.94641709327698,TRUE,"ok",""
75,7,3,TRUE,8,-263.254121302657,14,554.508242605314,617.714220277529,0.184270008295748,TRUE,10.4216828346252,FALSE,"WRONG SIGN","wrong_sign"
75,8,1,TRUE,1,-328.235342857424,4,664.470685714849,682.529536478339,1,TRUE,0.263970851898193,TRUE,"ok",""
75,8,2,TRUE,8,-299.234276130596,9,616.468552261191,657.100966479044,0.173273153708964,TRUE,7.09962606430054,FALSE,"WRONG SIGN","wrong_sign"
75,8,3,TRUE,8,-268.427890876883,14,564.855781753766,628.061759425982,0.124649384799021,FALSE,11.0242238044739,FALSE,"NO COVARIANCE","no_covariance"
75,9,1,TRUE,1,-326.324327912391,4,660.648655824782,678.707506588272,1,TRUE,0.362344980239868,TRUE,"ok",""
75,9,2,TRUE,8,-300.49156919027,9,618.983138380539,659.615552598392,0.484833028113342,TRUE,5.70743107795715,TRUE,"ok",""
75,9,3,TRUE,8,-284.956322516559,14,597.912645033117,661.118622705333,0.211408207570113,TRUE,9.94344997406006,FALSE,"WRONG SIGN","wrong_sign"
75,10,1,TRUE,1,-330.341664284031,4,668.683328568062,686.742179331552,1,TRUE,0.290385007858276,TRUE,"ok",""
75,10,2,TRUE,8,-302.017659497796,9,622.035318995592,662.667733213445,0.229154615935602,TRUE,6.33444809913635,TRUE,"ok",""
75,10,3,TRUE,8,-283.048134085288,14,594.096268170576,657.302245842792,0.182427359662029,TRUE,11.5046741962433,TRUE,"ok",""
75,11,1,TRUE,1,-324.173496214923,4,656.346992429846,674.405843193337,1,TRUE,0.268128871917725,TRUE,"ok",""
75,11,2,TRUE,8,-297.408870334773,9,612.817740669545,653.450154887398,0.389169172016749,TRUE,5.4112868309021,FALSE,"WRONG SIGN","wrong_sign"
75,11,3,TRUE,8,-281.499370838871,14,590.998741677742,654.204719349957,0.132801773816982,TRUE,8.73556685447693,FALSE,"WRONG SIGN","wrong_sign"
75,12,1,TRUE,1,-328.082476487472,4,664.164952974944,682.223803738434,1,TRUE,0.282601118087769,TRUE,"ok",""
75,12,2,TRUE,8,-289.927133622966,9,597.854267245933,638.486681463785,0.290982248879869,TRUE,5.24494314193726,TRUE,"ok",""
75,12,3,TRUE,8,-263.946069465027,14,555.892138930053,619.098116602269,0.0951773515109564,TRUE,10.722284078598,FALSE,"WRONG SIGN","wrong_sign"
75,13,1,TRUE,1,-311.820137864815,4,631.640275729629,649.699126493119,1,TRUE,0.380950927734375,TRUE,"ok",""
75,13,2,TRUE,8,-283.472668368294,9,584.945336736587,625.57775095444,0.0937321138578311,TRUE,7.36111688613892,FALSE,"WRONG SIGN","wrong_sign"
75,13,3,TRUE,8,-256.03847906464,14,540.076958129281,603.282935801496,0.096729811198646,TRUE,9.78885889053345,TRUE,"ok",""
75,14,1,TRUE,1,-323.912491515769,4,655.824983031538,673.883833795028,1,TRUE,0.333307027816772,TRUE,"ok",""
75,14,2,TRUE,8,-302.611243147054,9,623.222486294108,663.854900511961,0.24882845106239,TRUE,6.55042004585266,TRUE,"ok",""
75,14,3,TRUE,8,-285.776718661371,14,599.553437322742,662.759414994958,0.157372748548952,TRUE,15.008672952652,FALSE,"WRONG SIGN","wrong_sign"
75,15,1,TRUE,1,-332.624354940983,4,673.248709881966,691.307560645456,1,TRUE,0.380768060684204,TRUE,"ok",""
75,15,2,TRUE,8,-312.59680218202,9,643.193604364039,683.826018581892,0.477161364831748,TRUE,6.20341897010803,TRUE,"ok",""
75,15,3,TRUE,8,-298.787112479592,14,625.574224959184,688.780202631399,0.175730158825401,FALSE,8.68036007881165,FALSE,"NO COVARIANCE","no_covariance"
75,16,1,TRUE,1,-303.832348040132,4,615.664696080263,633.723546843753,1,TRUE,0.274708986282349,TRUE,"ok",""
75,16,2,TRUE,8,-278.757014424009,9,575.514028848017,616.14644306587,0.329541256163806,TRUE,5.41155004501343,TRUE,"ok",""
75,16,3,TRUE,8,-260.755426538097,14,549.510853076194,612.71683074841,0.193536139723495,FALSE,9.02501678466797,FALSE,"NO COVARIANCE","no_covariance"
75,17,1,TRUE,1,-306.265983792063,4,620.531967584126,638.590818347617,1,TRUE,0.290027141571045,TRUE,"ok",""
75,17,2,TRUE,8,-272.882810917814,9,563.765621835629,604.398036053482,0.338538045734815,TRUE,5.14975905418396,TRUE,"ok",""
75,17,3,TRUE,8,-258.242943642333,14,544.485887284665,607.691864956881,0.269499000365476,TRUE,11.5223441123962,TRUE,"ok",""
75,18,1,TRUE,1,-331.314109387019,4,670.628218774037,688.687069537527,1,TRUE,0.2135910987854,TRUE,"ok",""
75,18,2,TRUE,8,-298.235649467819,9,614.471298935638,655.10371315349,0.348452149541689,TRUE,10.5712740421295,TRUE,"ok",""
75,18,3,TRUE,8,-279.083508652638,14,586.167017305276,649.372994977491,0.125562351151779,TRUE,13.1182789802551,TRUE,"ok",""
75,19,1,TRUE,1,-318.586160096527,4,645.172320193053,663.231170956543,1,TRUE,0.297852039337158,TRUE,"ok",""
75,19,2,TRUE,8,-287.422099797508,9,592.844199595016,633.476613812869,0.443061386057046,TRUE,6.35535311698914,TRUE,"ok",""
75,19,3,TRUE,8,-275.060069542846,14,578.120139085692,641.326116757908,0.102188129398213,TRUE,11.5077171325684,FALSE,"WRONG SIGN","wrong_sign"
75,20,1,TRUE,1,-315.634655757151,4,639.269311514303,657.328162277793,1,TRUE,0.317951917648315,TRUE,"ok",""
75,20,2,TRUE,8,-297.245523459814,9,612.491046919628,653.123461137481,0.184760806629174,TRUE,5.80009889602661,TRUE,"ok",""
75,20,3,TRUE,8,-281.617934293768,14,591.235868587535,654.441846259751,0.113163916119369,TRUE,13.2979471683502,TRUE,"ok",""
50,1,1,TRUE,1,-203.587661328689,4,415.175322657378,431.612312988435,1,TRUE,0.382812023162842,TRUE,"ok",""
50,1,2,TRUE,8,-180.010474432386,9,378.020948864772,415.004177109651,0.357619052588091,TRUE,5.71017813682556,TRUE,"ok",""
50,1,3,TRUE,8,-165.335634558659,14,358.671269117318,416.200735276019,0.122707358141907,TRUE,9.04184103012085,FALSE,"WRONG SIGN","wrong_sign"
50,2,1,TRUE,1,-223.111150065722,4,454.222300131445,470.659290462502,1,TRUE,0.27867603302002,TRUE,"ok",""
50,2,2,TRUE,8,-199.821668914907,9,417.643337829814,454.626566074693,0.472125968644525,TRUE,4.96118903160095,TRUE,"ok",""
50,2,3,TRUE,8,-186.788030511798,14,401.576061023596,459.105527182297,0.0885769596165432,TRUE,12.0887141227722,FALSE,"WRONG SIGN","wrong_sign"
50,3,1,TRUE,1,-193.018740253266,4,394.037480506532,410.474470837589,1,TRUE,0.296803951263428,TRUE,"ok",""
50,3,2,TRUE,8,-166.602817094792,9,351.205634189584,388.188862434464,0.328980706436038,TRUE,5.48144102096558,TRUE,"ok",""
50,3,3,TRUE,8,-149.706977973381,14,327.413955946763,384.943422105464,0.243189300319932,TRUE,9.06425905227661,TRUE,"ok",""
50,4,1,TRUE,1,-177.163801071726,4,362.327602143451,378.764592474509,1,TRUE,0.382171869277954,TRUE,"ok",""
50,4,2,TRUE,8,-162.632925764555,9,343.26585152911,380.249079773989,0.136299904227402,FALSE,4.29621410369873,FALSE,"NO COVARIANCE","no_covariance"
50,4,3,TRUE,8,-156.393460953009,14,340.786921906019,398.31638806472,0.127794549111635,FALSE,11.7200338840485,FALSE,"NO COVARIANCE","no_covariance"
50,5,1,TRUE,1,-191.499051593997,4,390.998103187995,407.435093519052,1,TRUE,0.209696054458618,TRUE,"ok",""
50,5,2,TRUE,8,-173.275175359337,9,364.550350718674,401.533578963553,0.492243788437977,TRUE,4.8375608921051,TRUE,"ok",""
50,5,3,TRUE,8,-157.139493581609,14,342.278987163218,399.808453321919,0.203004860629559,FALSE,8.17140507698059,FALSE,"NO COVARIANCE","no_covariance;wrong_sign"
50,6,1,TRUE,1,-214.725559149117,4,437.451118298233,453.888108629291,1,TRUE,0.320975065231323,TRUE,"ok",""
50,6,2,TRUE,8,-192.37717274477,9,402.75434548954,439.737573734419,0.48696092485692,TRUE,6.97119212150574,TRUE,"ok",""
50,6,3,TRUE,8,-175.262600162542,14,378.525200325084,436.054666483785,0.0951199318179424,TRUE,10.1555440425873,FALSE,"WRONG SIGN","wrong_sign"
50,7,1,TRUE,1,-196.094734856401,4,400.189469712803,416.62646004386,1,TRUE,0.310760021209717,FALSE,"WRONG SIGN","wrong_sign"
50,7,2,TRUE,8,-180.769849101866,9,379.539698203733,416.522926448612,0.266732597587542,TRUE,4.9298529624939,FALSE,"WRONG SIGN","wrong_sign"
50,7,3,TRUE,8,-169.668150313102,14,367.336300626204,424.865766784905,0.184605658581947,TRUE,10.9118649959564,FALSE,"WRONG SIGN","wrong_sign"
50,8,1,TRUE,1,-221.412205053541,4,450.824410107082,467.26140043814,1,TRUE,0.250868082046509,TRUE,"ok",""
50,8,2,TRUE,8,-205.427906293942,9,428.855812587884,465.839040832763,0.29041954035238,TRUE,7.28142309188843,TRUE,"ok",""
50,8,3,TRUE,8,-188.006394618936,14,404.012789237873,461.542255396574,0.159362226073611,FALSE,9.81077480316162,FALSE,"NO COVARIANCE","no_covariance"
50,9,1,TRUE,1,-215.692117296958,4,439.384234593916,455.821224924973,1,TRUE,0.209203958511353,TRUE,"ok",""
50,9,2,TRUE,8,-198.356691380386,9,414.713382760773,451.696611005652,0.363474498014837,TRUE,4.93206596374512,TRUE,"ok",""
50,9,3,TRUE,8,-185.147672517688,14,398.295345035376,455.824811194077,0.231030180888538,FALSE,9.49758911132812,FALSE,"NO COVARIANCE","no_covariance"
50,10,1,TRUE,1,-215.156808218412,4,438.313616436823,454.750606767881,1,TRUE,0.370234966278076,TRUE,"ok",""
50,10,2,TRUE,8,-199.965256460707,9,417.930512921415,454.913741166294,0.249761458201112,TRUE,5.14738917350769,TRUE,"ok",""
50,10,3,TRUE,8,-182.642132699808,14,393.284265399617,450.813731558318,0.201486544183149,TRUE,10.2766509056091,TRUE,"ok",""
50,11,1,TRUE,1,-216.280970827074,4,440.561941654147,456.998931985205,1,TRUE,0.421221971511841,TRUE,"ok",""
50,11,2,TRUE,8,-191.525201736117,9,401.050403472234,438.033631717113,0.23639214797935,TRUE,6.28995895385742,FALSE,"WRONG SIGN","wrong_sign"
50,11,3,TRUE,8,-180.335323273342,14,388.670646546685,446.200112705386,0.22562790025017,FALSE,13.860445022583,FALSE,"NO COVARIANCE","no_covariance;wrong_sign"
50,12,1,TRUE,1,-227.151794926935,4,462.30358985387,478.740580184928,1,TRUE,0.38767409324646,TRUE,"ok",""
50,12,2,TRUE,8,-197.426164921047,9,412.852329842093,449.835558086973,0.409385610565671,TRUE,6.12447118759155,TRUE,"ok",""
50,12,3,TRUE,8,-183.461482784789,14,394.922965569579,452.45243172828,0.180487072277775,TRUE,9.77102613449097,FALSE,"WRONG SIGN","wrong_sign"
50,13,1,TRUE,1,-197.822281613147,4,403.644563226294,420.081553557351,1,TRUE,0.25285792350769,TRUE,"ok",""
50,13,2,TRUE,8,-176.766190363644,9,371.532380727287,408.515608972167,0.231070798598656,TRUE,5.72468900680542,FALSE,"WRONG SIGN","wrong_sign"
50,13,3,TRUE,8,-156.491920872864,14,340.983841745727,398.513307904428,0.19073501996935,TRUE,12.2123239040375,FALSE,"WRONG SIGN","wrong_sign"
50,14,1,TRUE,1,-229.188879905509,4,466.377759811018,482.814750142076,1,TRUE,0.199764966964722,TRUE,"ok",""
50,14,2,TRUE,8,-214.012598154872,9,446.025196309744,483.008424554623,0.277118834169495,TRUE,4.81444001197815,TRUE,"ok",""
50,14,3,TRUE,8,-190.949695099801,14,409.899390199601,467.428856358302,0.170051177349685,FALSE,7.61577916145325,FALSE,"NO COVARIANCE","no_covariance;wrong_sign"
50,15,1,TRUE,1,-226.831298500201,4,461.662597000401,478.099587331459,1,TRUE,0.238778114318848,TRUE,"ok",""
50,15,2,TRUE,8,-208.677523409284,9,435.355046818569,472.338275063448,0.429068008095516,TRUE,6.03585195541382,TRUE,"ok",""
50,15,3,TRUE,8,-196.824293892826,14,421.648587785651,479.178053944352,0.210735521880643,FALSE,9.03542995452881,FALSE,"NO COVARIANCE","no_covariance"
50,16,1,TRUE,1,-202.367398394421,4,412.734796788841,429.171787119899,1,TRUE,0.25257396697998,TRUE,"ok",""
50,16,2,TRUE,8,-185.916166431744,9,389.832332863489,426.815561108368,0.115418199899303,FALSE,4.7896900177002,FALSE,"NO COVARIANCE","no_covariance;wrong_sign"
50,16,3,TRUE,8,-178.896402922207,14,385.792805844414,443.322272003115,0.232836972174315,TRUE,9.59398293495178,TRUE,"ok",""
50,17,1,TRUE,1,-200.734443883631,4,409.468887767263,425.90587809832,1,TRUE,0.272495985031128,TRUE,"ok",""
50,17,2,TRUE,8,-172.999280061036,9,363.998560122072,400.981788366951,0.482141711075747,TRUE,5.75223803520203,TRUE,"ok",""
